transaction_id,customer_id,amount,currency,payment_method,bank,hour_of_day,day_of_week,failure_reason,failure_category,previous_success_count,previous_failure_count,customer_success_rate,attempt_number,gateway_latency_ms,device_type,risk_level,email_recovery_success,whatsapp_recovery_success,voice_recovery_success,recovered,recovered_amount
pay_tx_100096,cust_9254,7257.08,INR,CREDIT_CARD,KOTAK,1,5,card_expired,PAYMENT_METHOD_PROBLEM,25,8,0.758,1,436,mobile_android,LOW,1,1,0,1,7257.08
pay_tx_100097,cust_9032,1781.67,INR,NET_BANKING,HDFC,2,2,incorrect_pin,CUSTOMER_CORRECTABLE,19,2,0.905,1,113,web_desktop,LOW,1,1,1,1,1781.67
pay_tx_100098,cust_9692,5826.34,INR,DEBIT_CARD,AXIS,16,4,insufficient_funds,INSUFFICIENT_FUNDS,13,1,0.929,2,222,mobile_android,MEDIUM,0,0,0,0,0.0
pay_tx_100099,cust_4522,2967.63,INR,NET_BANKING,AXIS,7,3,authentication_failed,CUSTOMER_CORRECTABLE,10,7,0.588,1,155,mobile_android,LOW,1,1,0,1,2967.63
pay_tx_100100,cust_8770,2425.9,INR,UPI,HDFC,2,0,incorrect_pin,CUSTOMER_CORRECTABLE,13,1,0.929,2,164,web_desktop,MEDIUM,1,1,1,1,2425.9
pay_tx_100101,cust_6400,1027.37,INR,UPI,AXIS,11,6,incorrect_pin,CUSTOMER_CORRECTABLE,21,6,0.778,2,297,mobile_android,HIGH,0,0,0,0,0.0
pay_tx_100102,cust_4485,318.08,INR,CREDIT_CARD,PAYTM_BANK,15,1,gateway_timeout,TEMPORARY_INFRASTRUCTURE,3,5,0.375,2,64,web_desktop,LOW,1,1,1,1,318.08
pay_tx_100103,cust_1430,763.46,INR,WALLET,PAYTM_BANK,22,2,card_expired,PAYMENT_METHOD_PROBLEM,0,2,0.0,1,210,web_desktop,MEDIUM,1,1,1,1,763.46
pay_tx_100104,cust_7566,5060.35,INR,UPI,ICICI,23,5,incorrect_pin,CUSTOMER_CORRECTABLE,0,1,0.0,2,220,mobile_ios,LOW,0,1,1,1,5060.35
pay_tx_100105,cust_6314,1768.32,INR,WALLET,KOTAK,2,0,incorrect_pin,CUSTOMER_CORRECTABLE,4,2,0.667,2,198,mobile_android,LOW,1,1,1,1,1768.32
pay_tx_100106,cust_8242,2663.14,INR,NET_BANKING,SBI,6,6,card_expired,PAYMENT_METHOD_PROBLEM,16,1,0.941,1,121,mobile_android,LOW,0,1,0,1,2663.14
pay_tx_100107,cust_1744,1586.82,INR,CREDIT_CARD,AXIS,19,0,insufficient_funds,INSUFFICIENT_FUNDS,0,3,0.0,1,336,mobile_ios,MEDIUM,0,1,1,1,1586.82
pay_tx_100108,cust_9149,2365.89,INR,NET_BANKING,ICICI,4,3,incorrect_pin,CUSTOMER_CORRECTABLE,17,3,0.85,1,252,web_desktop,LOW,0,1,1,1,2365.89
pay_tx_100109,cust_2275,1862.01,INR,DEBIT_CARD,KOTAK,13,4,bank_down,TEMPORARY_INFRASTRUCTURE,12,6,0.667,1,359,web_mobile,LOW,1,1,0,1,1862.01
pay_tx_100110,cust_6928,23952.28,INR,UPI,AXIS,3,1,authentication_failed,CUSTOMER_CORRECTABLE,13,6,0.684,1,128,web_mobile,MEDIUM,0,1,0,1,23952.28
pay_tx_100111,cust_2251,25028.33,INR,WALLET,PAYTM_BANK,3,4,insufficient_funds,INSUFFICIENT_FUNDS,16,3,0.842,3,123,web_desktop,HIGH,0,0,0,0,0.0
pay_tx_100112,cust_4871,199.0,INR,UPI,ICICI,8,1,authentication_failed,CUSTOMER_CORRECTABLE,5,2,0.714,2,161,mobile_android,LOW,0,1,0,1,199.0
pay_tx_100113,cust_8354,2724.68,INR,WALLET,PAYTM_BANK,20,4,insufficient_funds,INSUFFICIENT_FUNDS,10,5,0.667,1,817,mobile_android,LOW,0,0,0,0,0.0
pay_tx_100114,cust_6766,615.17,INR,WALLET,HDFC,9,3,balance_low,INSUFFICIENT_FUNDS,14,0,1.0,1,357,web_desktop,LOW,0,0,0,0,0.0
pay_tx_100115,cust_9307,370.82,INR,NET_BANKING,AXIS,18,4,balance_low,INSUFFICIENT_FUNDS,25,0,1.0,1,798,mobile_ios,LOW,1,1,1,1,370.82
pay_tx_100116,cust_2695,7445.22,INR,DEBIT_CARD,PAYTM_BANK,2,4,risk_declined,RISK_RELATED,20,2,0.909,1,169,web_mobile,CRITICAL,0,0,0,0,0.0
pay_tx_100117,cust_5634,231.42,INR,NET_BANKING,AXIS,10,5,fraud_suspected,RISK_RELATED,19,0,1.0,2,614,web_desktop,HIGH,0,0,0,0,0.0
pay_tx_100118,cust_5128,1575.85,INR,WALLET,YES_BANK,4,2,insufficient_funds,INSUFFICIENT_FUNDS,2,2,0.5,3,574,web_desktop,HIGH,0,0,0,0,0.0
pay_tx_100119,cust_2388,1819.46,INR,DEBIT_CARD,KOTAK,12,5,card_expired,PAYMENT_METHOD_PROBLEM,25,5,0.833,2,259,mobile_android,LOW,1,1,1,1,1819.46
pay_tx_100120,cust_3953,1053.55,INR,CREDIT_CARD,SBI,15,1,insufficient_funds,INSUFFICIENT_FUNDS,7,2,0.778,1,391,web_desktop,MEDIUM,1,0,0,1,1053.55
pay_tx_100121,cust_9626,2088.82,INR,UPI,PAYTM_BANK,10,6,insufficient_funds,INSUFFICIENT_FUNDS,19,2,0.905,1,363,mobile_ios,LOW,0,1,0,1,2088.82
pay_tx_100122,cust_3712,286.88,INR,NET_BANKING,HDFC,13,2,incorrect_pin,CUSTOMER_CORRECTABLE,21,3,0.875,3,588,web_desktop,MEDIUM,0,1,1,1,286.88
pay_tx_100123,cust_8684,11630.46,INR,CREDIT_CARD,SBI,21,4,authentication_failed,CUSTOMER_CORRECTABLE,14,7,0.667,2,273,web_mobile,LOW,1,1,1,1,11630.46
pay_tx_100124,cust_3267,21437.51,INR,DEBIT_CARD,HDFC,20,3,customer_cancelled,CUSTOMER_ABANDONMENT,11,8,0.579,3,767,mobile_android,LOW,0,1,0,1,21437.51
pay_tx_100125,cust_3414,3922.37,INR,NET_BANKING,HDFC,7,6,bank_down,TEMPORARY_INFRASTRUCTURE,14,5,0.737,3,619,web_mobile,LOW,1,1,0,1,3922.37
pay_tx_100126,cust_7142,6438.88,INR,CREDIT_CARD,HDFC,10,0,insufficient_funds,INSUFFICIENT_FUNDS,22,5,0.815,2,40,mobile_ios,LOW,0,1,0,1,6438.88
pay_tx_100127,cust_8685,1308.6,INR,NET_BANKING,KOTAK,0,0,authentication_failed,CUSTOMER_CORRECTABLE,0,4,0.0,1,416,mobile_ios,LOW,0,1,1,1,1308.6
pay_tx_100128,cust_5720,12763.42,INR,CREDIT_CARD,SBI,3,0,customer_cancelled,CUSTOMER_ABANDONMENT,7,6,0.538,1,66,web_mobile,LOW,0,0,0,0,0.0
pay_tx_100129,cust_9443,234.15,INR,WALLET,ICICI,22,1,insufficient_funds,INSUFFICIENT_FUNDS,9,6,0.6,1,239,web_desktop,LOW,1,0,1,1,234.15
pay_tx_100130,cust_6908,199.0,INR,UPI,KOTAK,17,4,bank_down,TEMPORARY_INFRASTRUCTURE,25,8,0.758,1,233,web_mobile,MEDIUM,1,1,1,1,199.0
pay_tx_100131,cust_1266,2807.13,INR,DEBIT_CARD,YES_BANK,2,2,incorrect_pin,CUSTOMER_CORRECTABLE,7,1,0.875,2,108,web_desktop,LOW,1,1,0,1,2807.13
pay_tx_100132,cust_8612,1677.04,INR,NET_BANKING,PAYTM_BANK,5,6,bank_down,TEMPORARY_INFRASTRUCTURE,4,1,0.8,2,484,web_mobile,LOW,1,1,0,1,1677.04
pay_tx_100133,cust_6170,956.89,INR,DEBIT_CARD,KOTAK,12,6,incorrect_pin,CUSTOMER_CORRECTABLE,17,7,0.708,1,125,mobile_ios,LOW,0,1,0,1,956.89
pay_tx_100134,cust_5476,1590.12,INR,UPI,YES_BANK,11,3,incorrect_pin,CUSTOMER_CORRECTABLE,12,7,0.632,2,98,web_mobile,LOW,1,1,1,1,1590.12
pay_tx_100135,cust_9507,19104.33,INR,DEBIT_CARD,YES_BANK,2,5,incorrect_pin,CUSTOMER_CORRECTABLE,13,1,0.929,1,256,mobile_ios,LOW,1,1,1,1,19104.33
pay_tx_100136,cust_6021,780.81,INR,NET_BANKING,KOTAK,22,3,customer_cancelled,CUSTOMER_ABANDONMENT,5,7,0.417,1,293,mobile_android,LOW,0,0,0,0,0.0
pay_tx_100137,cust_1939,1580.04,INR,UPI,PAYTM_BANK,20,3,gateway_timeout,TEMPORARY_INFRASTRUCTURE,11,8,0.579,2,209,mobile_ios,HIGH,0,0,0,0,0.0
